term,display_order,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator
now,14,3805.6763446248924,1739,146,456949,146,humor,Humor,4061.696658097687,256.02031347279444,237,20,58350,20
now,14,3805.6763446248924,1739,146,456949,146,mystery,Mystery,2709.4593650926663,-1096.216979532226,194,20,71601,20
now,14,3805.6763446248924,1739,146,456949,146,romance,Romance,4043.796601061329,238.12025643643665,301,20,74435,20
now,14,3805.6763446248924,1739,146,456949,146,science_fiction,Science Fiction,4519.964740524016,714.2883958991233,241,20,53319,20
now,14,3805.6763446248924,1739,146,456949,146,western,Western,2347.1011951331375,-1458.575149491755,174,20,74134,20
old,15,3508.0501325093173,1603,138,456949,146,adventure,Adventure,3312.754103297696,-195.29602921162132,66,6,19923,6
old,15,3508.0501325093173,1603,138,456949,146,fantasy,Fantasy,8049.53560371517,4541.485471205852,260,18,32300,20
old,15,3508.0501325093173,1603,138,456949,146,horror,Horror,3498.5662738211204,-9.48385868819696,255,19,72887,20
old,15,3508.0501325093173,1603,138,456949,146,humor,Humor,3958.8688946015423,450.8187620922249,231,19,58350,20
old,15,3508.0501325093173,1603,138,456949,146,mystery,Mystery,1983.2125249647352,-1524.8376075445822,142,18,71601,20
old,15,3508.0501325093173,1603,138,456949,146,romance,Romance,2700.342580775173,-807.7075517341445,201,19,74435,20
old,15,3508.0501325093173,1603,138,456949,146,science_fiction,Science Fiction,3038.31654757216,-469.7335849371575,162,19,53319,20
old,15,3508.0501325093173,1603,138,456949,146,western,Western,3857.8789759084902,349.8288433991729,286,20,74134,20
more,16,3374.5560226633606,1542,142,456949,146,adventure,Adventure,3563.7203232444913,189.16430058113065,71,6,19923,6
more,16,3374.5560226633606,1542,142,456949,146,fantasy,Fantasy,2972.1362229102165,-402.41979975314416,96,16,32300,20
more,16,3374.5560226633606,1542,142,456949,146,horror,Horror,3224.168919011621,-150.38710365173984,235,20,72887,20
more,16,3374.5560226633606,1542,142,456949,146,humor,Humor,2964.867180805484,-409.68884185787647,173,20,58350,20
more,16,3374.5560226633606,1542,142,456949,146,mystery,Mystery,3687.099342187958,312.54331952459734,264,20,71601,20
more,16,3374.5560226633606,1542,142,456949,146,romance,Romance,4191.576543292806,817.020520629445,312,20,74435,20
more,16,3374.5560226633606,1542,142,456949,146,science_fiction,Science Fiction,3375.907275080178,1.3512524168172604,180,20,53319,20
more,16,3374.5560226633606,1542,142,456949,146,western,Western,2846.1974262821377,-528.3585963812229,211,20,74134,20
little,17,3367.990738572576,1539,144,456949,146,adventure,Adventure,2359.0824674998744,-1008.9082710727016,47,6,19923,6
little,17,3367.990738572576,1539,144,456949,146,fantasy,Fantasy,11702.786377708979,8334.795639136402,378,20,32300,20
little,17,3367.990738572576,1539,144,456949,146,horror,Horror,1632.6642611165228,-1735.3264774560532,119,19,72887,20
little,17,3367.990738572576,1539,144,456949,146,humor,Humor,2690.6598114824337,-677.3309270901423,157,20,58350,20
little,17,3367.990738572576,1539,144,456949,146,mystery,Mystery,3282.077065962766,-85.91367260980996,235,20,71601,20
little,17,3367.990738572576,1539,144,456949,146,romance,Romance,4272.183784509975,904.1930459373993,318,20,74435,20
little,17,3367.990738572576,1539,144,456949,146,science_fiction,Science Fiction,2063.054445882331,-1304.936292690245,110,19,53319,20
little,17,3367.990738572576,1539,144,456949,146,western,Western,2360.5902824614886,-1007.4004561110874,175,20,74134,20
down,18,3352.6717423607447,1532,142,456949,146,adventure,Adventure,4768.358178989108,1415.686436628363,95,6,19923,6
down,18,3352.6717423607447,1532,142,456949,146,fantasy,Fantasy,3653.2507739938083,300.57903163306355,118,18,32300,20
down,18,3352.6717423607447,1532,142,456949,146,horror,Horror,2497.0159287664465,-855.6558135942983,182,20,72887,20
down,18,3352.6717423607447,1532,142,456949,146,humor,Humor,2810.6255355612684,-542.0462067994763,164,19,58350,20
down,18,3352.6717423607447,1532,142,456949,146,mystery,Mystery,3310.009636736917,-42.662105623827756,237,20,71601,20
down,18,3352.6717423607447,1532,142,456949,146,romance,Romance,2364.479075703634,-988.1926666571107,176,19,74435,20
down,18,3352.6717423607447,1532,142,456949,146,science_fiction,Science Fiction,3563.457679251299,210.78593689055424,190,20,53319,20
down,18,3352.6717423607447,1532,142,456949,146,western,Western,4990.962311490005,1638.2905691292603,370,20,74134,20
did,19,3343.9180302396985,1528,139,456949,146,adventure,Adventure,3613.9135672338502,269.99553699415173,72,6,19923,6
did,19,3343.9180302396985,1528,139,456949,146,fantasy,Fantasy,3065.015479876161,-278.90255036353756,99,15,32300,20
did,19,3343.9180302396985,1528,139,456949,146,horror,Horror,2373.537119102172,-970.3809111375267,173,20,72887,20
did,19,3343.9180302396985,1528,139,456949,146,humor,Humor,3907.4550128534706,563.5369826137721,228,20,58350,20
did,19,3343.9180302396985,1528,139,456949,146,mystery,Mystery,3323.975922123993,-19.94210811570565,238,20,71601,20
did,19,3343.9180302396985,1528,139,456949,146,romance,Romance,4406.529186538591,1062.6111562988922,328,20,74435,20
did,19,3343.9180302396985,1528,139,456949,146,science_fiction,Science Fiction,2719.4808604812542,-624.4371697584443,145,18,53319,20
did,19,3343.9180302396985,1528,139,456949,146,western,Western,3304.826395446084,-39.0916347936145,245,20,74134,20
some,20,3247.627196908189,1484,141,456949,146,adventure,Adventure,3262.560859308337,14.933662400148023,65,6,19923,6
