term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
mrs,4,romance,Romance,3488.8791975577847,2986.743786594673,288,17,82548,23,2,romance:complement,U - Romance,502.1354109631118,188,31,374401,123,deviation,2986.743786594673,-5013.021267719306,5013.021267719306,shared,1,2,False
mrs,4,humor,Humor,427.1543609296144,-713.1920605668046,27,6,63209,21,3,humor:complement,U - Humor,1140.346421496419,449,42,393740,125,deviation,-713.1920605668046,-5013.021267719306,5013.021267719306,shared,1,3,True
says,5,adventure,Adventure,2675.7479931890052,1351.244681930727,154,8,57554,18,1,adventure:complement,U - Adventure,1324.5033112582782,529,57,399395,128,deviation,1351.244681930727,-5013.021267719306,5013.021267719306,shared,1,1,False
says,5,romance,Romance,678.3931773029025,-996.2818369198161,56,13,82548,23,2,romance:complement,U - Romance,1674.6750142227186,627,52,374401,123,deviation,-996.2818369198161,-5013.021267719306,5013.021267719306,shared,1,2,False
says,5,humor,Humor,3891.8508440253763,2781.981387023294,246,11,63209,21,3,humor:complement,U - Humor,1109.8694570020825,437,54,393740,125,deviation,2781.981387023294,-5013.021267719306,5013.021267719306,shared,1,3,True
henry,6,adventure,Adventure,34.74997393751955,-633.7611491361293,2,2,57554,18,1,adventure:complement,U - Adventure,668.511123073649,267,14,399395,128,deviation,-633.7611491361293,-5013.021267719306,5013.021267719306,shared,1,1,False
henry,6,romance,Romance,109.02747492368077,-585.4151147061547,9,3,82548,23,2,romance:complement,U - Romance,694.4425896298354,260,13,374401,123,deviation,-585.4151147061547,-5013.021267719306,5013.021267719306,shared,1,2,False
henry,6,humor,Humor,2657.849356895379,2401.3349057347145,168,4,63209,21,3,humor:complement,U - Humor,256.5144511606644,101,12,393740,125,deviation,2401.3349057347145,-5013.021267719306,5013.021267719306,shared,1,3,False
would,7,adventure,Adventure,3561.8723285957535,-1358.0690827889662,205,17,57554,18,1,adventure:complement,U - Adventure,4919.94141138472,1965,126,399395,128,deviation,-1358.0690827889662,-5013.021267719306,5013.021267719306,shared,1,1,False
would,7,romance,Romance,6602.219314822891,2261.9531296364194,545,23,82548,23,2,romance:complement,U - Romance,4340.266185186471,1625,120,374401,123,deviation,2261.9531296364194,-5013.021267719306,5013.021267719306,shared,1,2,False
